Cluster,Subcluster,Domain,Format Loads,Impressions,Format Fill Rate,Viewability Rate,Efficiency Rate,CPM,Clicks,CTR,Category,Category importance,Country,Geographical zone,Geographical zone importance
4,1,gente.com.ar,109875.74137931038,7289.448275862069,7.1068965517241365,70.63517241379313,74.17896551724137,1.2574137931034484,46.01724137931034,0.4922413793103448,Glamour,4.756006935843448,Argentina,South America,53.27
4,1,cnnchile.com,107192.83193277313,20660.731092436974,21.630336134453792,90.30504201680674,99.163781512605,1.5303361344537814,268.29411764705884,1.2758823529411771,Movies & Television,3.5670052018825857,Chile,South America,53.27
4,1,senhorcarros.com,107129.30769230767,3.615384615384616,0.01,54.87153846153846,79.18153846153847,1.4261538461538463,0.0,0.0,Autos,0.07431260837255388,Brazil,South America,53.27
4,1,imageneseducativas.com,105966.722007722,3677.432432432433,3.810270270270272,82.0299613899614,93.37451737451737,1.6275289575289542,19.081081081081077,0.4930115830115831,Casual Games,0.6440426058954669,Mexico,South America,53.27
4,1,mixdeseries.com.br,105958.46372239749,19809.905362776022,22.40009463722398,79.4019558359622,90.56668769716087,1.470220820189272,125.45110410094635,0.5329652996845428,Movies & Television,3.5670052018825857,Brazil,South America,53.27
4,1,revistabula.com,105501.93442622949,26718.03551912568,30.2174863387978,86.18573770491808,99.43153005464474,1.6228415300546393,111.79781420765028,0.4445355191256831,Community & Culture,6.613822145157296,Brazil,South America,53.27
4,1,cinehoyts.cl,105387.1616438356,8082.69589041096,5.653369863013696,74.220602739726,93.59536986301376,1.5089589041095852,51.471232876712335,0.5838630136986297,Movies & Television,3.5670052018825857,Chile,South America,53.27
4,1,alairelibre.cl,105071.4863387978,8664.63387978142,10.405437158469935,45.1124316939891,98.27584699453548,1.5507103825136563,20.26502732240437,0.21647540983606547,Sports,7.629427792915531,Chile,South America,53.27
4,1,hipertextual.com,103610.43989071039,25944.98633879781,25.186557377049198,78.03655737704919,96.1941803278688,1.6045081967213062,94.67486338797814,0.3075956284153006,Tech & Gaming,1.9816695566014368,Mexico,South America,53.27
4,1,everardoherrera.com,102293.24124513619,9799.046692607004,10.470817120622568,79.55758754863812,97.12587548638136,1.637548638132294,80.46303501945525,0.8086381322957201,Sports,7.629427792915531,Costa Rica,South America,53.27
4,1,paparazzi.com.ar,96328.08661417324,2671.283464566929,1.8277952755905515,34.42913385826771,32.132283464566925,0.5707086614173228,28.984251968503933,0.5022834645669291,Glamour,4.756006935843448,Argentina,South America,53.27
4,1,fmdos.cl,94157.28961748633,13379.625683060107,13.469316939890707,86.23551912568311,98.58346994535526,1.56849726775956,154.2295081967213,1.063825136612023,Glamour,4.756006935843448,Chile,South America,53.27
4,1,superela.com,92125.54098360657,15467.93169398907,16.261366120218575,91.04732240437154,98.96920765027313,1.5957103825136547,126.21584699453553,0.7926775956284153,Glamour,4.756006935843448,Brazil,South America,53.27
4,1,lacuerda.net,88986.97033898305,36664.68644067797,34.80991525423731,73.70822033898305,86.47652542372877,1.625932203389831,201.1864406779661,0.435720338983051,Music & Radio,5.622987366856576,Mexico,South America,53.27
4,1,superluchas.com,88227.9309392265,11477.842541436465,15.052707182320445,74.45839779005523,89.47223756906071,1.4974585635359123,49.42817679558011,0.382817679558011,Sports,7.629427792915531,Mexico,South America,53.27
4,1,superesportes.com.br,87532.4918032787,37652.543715846994,33.928032786885225,79.5193169398908,99.6230327868853,1.6255737704917994,144.05191256830602,0.37019125683060095,Sports,7.629427792915531,Brazil,South America,53.27
4,1,fotech.cl,87269.77049180327,5675.778688524591,6.3478688524590146,82.39057377049186,96.71174863387978,1.557267759562835,54.85245901639344,0.9398907103825134,Movies & Television,3.5670052018825857,Chile,South America,53.27
4,1,nuevamujer.com,84758.92250922509,9799.811808118082,15.056236162361618,72.9988560885609,92.97597785977858,1.6860147601476,52.81918819188192,0.36730627306273067,Glamour,4.756006935843448,Mexico,South America,53.27
4,1,goal.com,82831.3306010929,34148.35519125683,43.087677595628435,83.8125409836066,99.35808743169399,1.6652732240437096,70.27322404371584,0.20349726775956284,Sports,7.629427792915531,Brazil,South America,53.27
4,1,saikaiscan.com.br,80313.8309859155,389.9154929577465,0.4884507042253521,68.60380281690142,81.5181690140845,1.6433802816901415,3.1690140845070425,0.9038028169014084,Community & Culture,6.613822145157296,Brazil,South America,53.27
4,1,orientacionandujar.es,79677.04247104247,2688.5096525096524,3.797644787644788,80.85532818532816,93.57841698841696,1.6392277992277964,8.084942084942085,0.30335907335907325,Community & Culture,6.613822145157296,Mexico,South America,53.27
4,1,adorocinema.com,79322.4887459807,13323.138263665593,19.184212218649517,79.56440514469448,98.77485530546616,1.5897427652733083,40.82636655948553,0.3333440514469454,Movies & Television,3.5670052018825857,Brazil,South America,53.27
4,1,radiocut.fm,79027.48936170213,4298.191489361702,5.084893617021278,77.40382978723403,80.10063829787237,1.4919148936170217,18.872340425531913,0.5797872340425533,Music & Radio,5.622987366856576,Argentina,South America,53.27
4,1,minhaoperadora.com.br,78788.8,1592.2,1.528,93.488,98.664,1.6920000000000002,10.4,0.28200000000000003,Tech & Gaming,1.9816695566014368,Brazil,South America,53.27
4,1,ecuagol.com,77300.81967213115,12021.950819672129,15.390382513661216,81.30571038251362,95.53822404371587,1.7164480874316956,68.97540983606558,0.5792349726775953,Sports,7.629427792915531,Ecuador,South America,53.27
4,1,paredro.com,77083.96448087433,3904.8060109289618,5.8415300546448075,40.467459016393434,87.55387978142075,1.6760382513661154,6.188524590163934,0.19210382513661184,Community & Culture,6.613822145157296,Mexico,South America,53.27
